,fit_time,batch_size,hidden_layers,learning_rate,n_weights,test_score,rank,actual_weights
0,1.4866240978240968,4,1,0.1,30,0.003736553544877097,655,31
1,1.271997833251953,4,1,0.1,60,0.0018333283835090697,572,61
2,1.0495936870574951,4,1,0.1,100,0.0013867688656318932,506,100
3,0.9923469066619873,4,1,0.1,300,0.049936237948713824,721,301
4,1.0001245498657227,4,1,0.1,600,0.31876022517681124,982,601
5,0.982572603225708,4,1,0.1,1000,0.31817610263824464,977,1000
6,1.0551784038543701,4,1,0.1,3000,0.3188621044158936,986,3001
7,1.1297795295715332,4,1,0.1,6000,0.32014975845813753,994,6001
8,1.3390172004699707,4,1,0.1,10000,0.318757089972496,981,10000
9,1.9731236934661864,4,1,0.1,30000,0.3183370143175125,980,30001
10,1.9244535446166993,4,1,0.05,30,0.05033592698164284,723,31
11,1.6529796600341797,4,1,0.05,60,0.0012250945437699556,467,61
12,1.6469951152801514,4,1,0.05,100,0.0016522443620488048,542,100
13,1.6691370487213135,4,1,0.05,300,0.0015358909498900176,530,301
14,1.6220626831054688,4,1,0.05,600,0.001648305868729949,541,601
15,1.739748239517212,4,1,0.05,1000,0.0024293176422361283,617,1000
16,1.7720617771148681,4,1,0.05,3000,0.17131854046601802,904,3001
17,1.7738574504852296,4,1,0.05,6000,0.31966315805912016,991,6001
18,1.8867541313171388,4,1,0.05,10000,0.3195810467004776,990,10000
19,2.1390798091888428,4,1,0.05,30000,0.31881962418556214,985,30001
20,2.815271759033203,4,1,0.01,30,0.0033026182441972195,644,31
21,2.6612836837768556,4,1,0.01,60,0.0010038758395239712,369,61
22,1.9844933986663817,4,1,0.01,100,0.0014061159454286098,510,100
23,1.8283115863800048,4,1,0.01,300,0.00096325499471277,337,301
24,1.767074966430664,4,1,0.01,600,0.0008389260154217481,236,601
25,1.643006944656372,4,1,0.01,1000,0.0007063796801958233,115,1000
26,1.8400800704956055,4,1,0.01,3000,0.001936872414080426,583,3001
27,2.0042412757873533,4,1,0.01,6000,0.0009675967317889445,340,6001
28,1.833297109603882,4,1,0.01,10000,0.0013372880057431757,496,10000
29,2.016208028793335,4,1,0.01,30000,0.0009838097263127565,349,30001
30,3.3839502811431883,4,1,0.005,30,0.0018724911962635816,576,31
31,2.792132568359375,4,1,0.005,60,0.0012957238242961467,488,61
32,2.234026336669922,4,1,0.005,100,0.002060315781272948,596,100
33,2.0387486934661867,4,1,0.005,300,0.0017463098629377782,555,301
34,2.073655605316162,4,1,0.005,600,0.0015659922966733575,535,601
35,2.0549051761627197,4,1,0.005,1000,0.0011526391841471194,449,1000
36,1.778643751144409,4,1,0.005,3000,0.0010915077407844364,420,3001
37,1.6759187221527099,4,1,0.005,6000,0.0008014211780391634,200,6001
38,1.884760332107544,4,1,0.005,10000,0.0006676659046206624,74,10000
39,1.8550395965576172,4,1,0.005,30000,0.0008577869448345155,255,30001
40,7.045159530639649,4,1,0.001,30,0.002470954618183896,618,31
41,5.979808521270752,4,1,0.001,60,0.00311100214603357,639,61
42,5.742643165588379,4,1,0.001,100,0.001310960471164435,490,100
43,4.0786927223205565,4,1,0.001,300,0.0011178815038874745,432,301
44,3.587406778335571,4,1,0.001,600,0.0011172208469361067,429,601
45,3.1011074066162108,4,1,0.001,1000,0.001034907449502498,391,1000
46,2.6945942401885987,4,1,0.001,3000,0.0009415736189112067,325,3001
47,2.7219207286834717,4,1,0.001,6000,0.0007586256484501064,161,6001
48,2.331764554977417,4,1,0.001,10000,0.0009210359305143357,308,10000
49,2.3842248916625977,4,1,0.001,30000,0.0010313027945812792,389,30001
50,9.40165810585022,4,1,0.0005,30,0.003088486287742853,638,31
51,10.058700799942017,4,1,0.0005,60,0.0030759477987885473,636,61
52,10.633963060379028,4,1,0.0005,100,0.0012502556317485868,475,100
53,6.277612018585205,4,1,0.0005,300,0.0011202316381968558,433,301
54,5.224827575683594,4,1,0.0005,600,0.0012621317524462937,479,601
55,4.636202716827393,4,1,0.0005,1000,0.0011276143719442188,437,1000
56,3.9512335777282717,4,1,0.0005,3000,0.0009685191791504622,342,3001
57,3.5014364242553713,4,1,0.0005,6000,0.000978824880439788,346,6001
58,2.869925594329834,4,1,0.0005,10000,0.0008890641271136701,284,10000
59,2.730298566818237,4,1,0.0005,30000,0.0006884541362524033,94,30001
60,50.12754921913147,4,1,0.0001,30,0.0011364013189449906,441,31
61,27.737025880813597,4,1,0.0001,60,0.002770540304481983,631,61
62,30.41486449241638,4,1,0.0001,100,0.0019458982860669494,584,100
63,20.68608193397522,4,1,0.0001,300,0.0013351240544579924,494,301
64,14.986124753952026,4,1,0.0001,600,0.0013266270863823593,493,601
65,14.2070077419281,4,1,0.0001,1000,0.0012785206781700253,483,1000
66,10.834027671813965,4,1,0.0001,3000,0.001083998428657651,416,3001
67,8.865493106842042,4,1,0.0001,6000,0.0010369945201091468,393,6001
68,7.315237617492675,4,1,0.0001,10000,0.0009946671430952846,359,10000
69,5.814251661300659,4,1,0.0001,30000,0.000959137617610395,334,30001
70,2.2787058353424072,4,2,0.1,30,0.10747262698132545,823,37
71,2.08183274269104,4,2,0.1,60,0.05896852846490219,743,63
72,2.1057692527770997,4,2,0.1,100,0.0022592201828956606,611,117
73,2.022989559173584,4,2,0.1,300,0.001482710032723844,520,309
74,2.2673376560211183,4,2,0.1,600,0.001391461258754134,508,626
75,2.079240083694458,4,2,0.1,1000,0.005161377927288413,674,1053
76,1.8342954158782958,4,2,0.1,3000,0.12265867935493588,840,3068
77,2.0862214088439943,4,2,0.1,6000,0.31776860952377317,974,6133
