,fit_time,batch_size,hidden_layers,learning_rate,n_weights,test_score,rank,actual_weights
72,11.230766344070435,4,1,0.0001,1000,0.0014416201855055987,500,1000
73,8.198675203323365,4,1,0.0001,3000,0.0012673844466917217,452,3001
74,7.120956754684448,4,1,0.0001,6000,0.0011208993091713637,387,6001
75,5.502086400985718,4,1,0.0001,10000,0.0011190670600626617,384,10000
76,4.815522623062134,4,1,0.0001,30000,0.001068966495222412,351,30001
77,2.3271769523620605,4,2,0.1,10,0.2439053912414238,1002,12
78,1.591942596435547,4,2,0.1,30,0.2655193175189197,1021,37
79,1.4698699951171874,4,2,0.1,60,0.001528077106922865,517,63
80,1.52392520904541,4,2,0.1,100,0.07291680157650263,786,117
81,1.4592978477478027,4,2,0.1,300,0.0021082013612613083,585,309
82,1.6075020790100099,4,2,0.1,600,0.0414063116942998,737,626
83,1.6266502380371093,4,2,0.1,1000,0.08896963067818434,812,1053
84,1.6322350978851319,4,2,0.1,3000,0.262594942888245,1019,3068
85,1.932831621170044,4,2,0.1,6000,0.3372045248746872,1109,6133
86,1.635028028488159,4,2,0.1,10000,0.3019879773259163,1043,10181
87,1.6314380168914795,4,2,0.1,30000,0.3482646092772484,1115,30093
88,1.658165979385376,4,2,0.05,10,0.2457019700901583,1006,12
89,1.6446029663085937,4,2,0.05,30,0.06612130139692454,769,37
90,1.6934717178344727,4,2,0.05,60,0.2556447175098583,1014,63
91,1.6128870964050293,4,2,0.05,100,0.09174275515251792,834,117
92,1.508766508102417,4,2,0.05,300,0.004475857212673873,681,309
93,1.589948558807373,4,2,0.05,600,0.0008675172837683931,204,626
94,1.5909462451934815,4,2,0.05,1000,0.001457942445995286,506,1053
95,1.6328339576721191,4,2,0.05,3000,0.0009874854935333134,293,3068
96,1.8193346500396728,4,2,0.05,6000,0.0007386103185126558,75,6133
97,1.6250550270080566,4,2,0.05,10000,0.004075627401471138,672,10181
98,1.777646780014038,4,2,0.05,30000,0.27460659384960306,1026,30093
99,1.6779127597808838,4,2,0.01,10,0.11260538268834352,856,12
100,1.797792625427246,4,2,0.01,30,0.12599842962808908,874,37
101,1.6374220848083496,4,2,0.01,60,0.037985173182096335,734,63
102,1.9623523712158204,4,2,0.01,100,0.08896261947229504,811,117
103,1.7880187034606934,4,2,0.01,300,0.002654670877382159,621,309
104,1.725785493850708,4,2,0.01,600,0.0009334501577541232,251,626
105,1.694469118118286,4,2,0.01,1000,0.0009097168367588893,232,1053
106,1.7221956253051758,4,2,0.01,3000,0.0007808551948983222,118,3068
107,1.5983264923095704,4,2,0.01,6000,0.0006783930264646187,29,6133
108,1.616477870941162,4,2,0.01,10000,0.001169754401780665,423,10181
109,1.7170089721679687,4,2,0.01,30000,0.000734887202270329,72,30093
110,2.009026861190796,4,2,0.005,10,0.16813857844099403,936,12
111,2.5487836360931397,4,2,0.005,30,0.06791558211843948,774,37
112,2.4592234611511232,4,2,0.005,60,0.07026512569282203,784,63
113,2.538212442398071,4,2,0.005,100,0.0013291583280079066,467,117
114,2.3114187240600588,4,2,0.005,300,0.0015167077508522198,514,309
115,2.1382824420928954,4,2,0.005,600,0.08905773045844398,813,626
116,1.8596274852752686,4,2,0.005,1000,0.0006430573237594217,9,1053
117,2.0393464088439943,4,2,0.005,3000,0.0016365151735953988,529,3068
118,1.910291576385498,4,2,0.005,6000,0.001181578665273264,424,6133
119,1.9072988033294678,4,2,0.005,10000,0.000713202946644742,52,10181
120,1.8666091442108155,4,2,0.005,30000,0.0011203510919585824,386,30093
121,3.7992400169372558,4,2,0.001,10,0.2558503549080342,1016,12
122,4.898301506042481,4,2,0.001,30,0.03796915002167225,733,37
123,6.8397094249725345,4,2,0.001,60,0.002072637225501239,582,63
124,4.889923477172852,4,2,0.001,100,0.0024164591362932698,611,117
125,4.199369955062866,4,2,0.001,300,0.0018201074650278314,560,309
126,4.169450473785401,4,2,0.001,600,0.0010515980422496796,342,626
127,3.444389295578003,4,2,0.001,1000,0.0009507859547738917,261,1053
128,3.104497957229614,4,2,0.001,3000,0.001043080387171358,337,3068
129,2.9493127346038817,4,2,0.001,6000,0.0009750492128659971,281,6133
130,2.7849525451660155,4,2,0.001,10000,0.0014107452996540814,487,10181
131,2.6339568138122558,4,2,0.001,30000,0.0011219950451049955,388,30093
132,6.3591944694519045,4,2,0.0005,10,0.3225246578454971,1076,12
133,7.230862617492676,4,2,0.0005,30,0.1680246860254556,935,37
134,9.538293075561523,4,2,0.0005,60,0.002089659182820469,584,63
135,8.701530361175537,4,2,0.0005,100,0.00112416582996957,389,117
136,7.287910795211792,4,2,0.0005,300,0.002073198021389544,583,309
137,4.88354082107544,4,2,0.0005,600,0.0025161348632536827,616,626
138,5.293045902252198,4,2,0.0005,1000,0.001125541844521649,390,1053
139,4.015462160110474,4,2,0.0005,3000,0.0008142675345879979,151,3068
140,3.518391227722168,4,2,0.0005,6000,0.0008730125919100828,209,6133
141,3.538937044143677,4,2,0.0005,10000,0.0012124908156692983,434,10181
142,3.4657323360443115,4,2,0.0005,30000,0.001081802637781948,360,30093
143,23.673293161392213,4,2,0.0001,10,0.23388259746134282,985,12
144,29.074050521850587,4,2,0.0001,30,0.0023838579654693604,608,37
145,33.82334942817688,4,2,0.0001,60,0.0020494187367148696,581,63
146,32.25673928260803,4,2,0.0001,100,0.06913861607608851,777,117
147,19.96082091331482,4,2,0.0001,300,0.04340446973510552,740,309
148,20.804165744781493,4,2,0.0001,600,0.001153900718782097,410,626
149,16.110717058181763,4,2,0.0001,1000,0.0023669047746807336,606,1053
150,13.857143688201905,4,2,0.0001,3000,0.0011880382371600717,425,3068
151,12.912070512771606,4,2,0.0001,6000,0.0009138876484939829,239,6133
152,10.848987579345703,4,2,0.0001,10000,0.001196067628916353,429,10181
153,7.839237022399902,4,2,0.0001,30000,0.000951219376293011,262,30093
154,2.828835201263428,4,3,0.1,10,0.22729214802384376,981,15
155,2.2946642875671386,4,3,0.1,30,0.17335042313206941,945,39
156,1.8989222049713135,4,3,0.1,60,0.2385856330394745,998,65
157,1.9296401977539062,4,3,0.1,100,0.048377938009798525,756,119
158,1.971726894378662,4,3,0.1,300,0.16096866875886917,926,324
159,1.9156764984130858,4,3,0.1,600,0.10889753726078197,853,611
160,1.9876845359802247,4,3,0.1,1000,0.0016456901852507145,532,1055
