,fit_time,batch_size,hidden_layers,learning_rate,n_weights,test_score,rank,actual_weights
82,15.060327625274658,10,3,0.001,10000,1.3939365224757693e-06,350,10183
83,26.802528619766235,10,3,0.001,50000,2.2983829275347035e-07,262,50319
84,9.225929880142212,30,1,0.1,50,1.7273828052566387e-05,443,52
85,7.057527923583985,30,1,0.1,100,1.3627427870233078e-05,440,100
86,6.6340601444244385,30,1,0.1,500,0.02385053045945824,646,502
87,5.642112493515015,30,1,0.1,1000,0.03930881470441818,731,1000
88,6.219368982315063,30,1,0.1,5000,0.038895216584205625,703,5002
89,8.273475980758667,30,1,0.1,10000,0.03886861428618431,698,10000
90,27.540156221389772,30,1,0.1,50000,0.03881023675203323,692,50002
91,18.5306480884552,30,1,0.01,50,3.222666191504686e-05,471,52
92,4.878155899047852,30,1,0.01,100,4.729757665700163e-06,396,100
93,5.534799718856812,30,1,0.01,500,1.026604707021761e-07,218,502
94,8.457583570480347,30,1,0.01,1000,3.1546795575820854e-08,141,1000
95,9.77745499610901,30,1,0.01,5000,3.416270955014511e-08,149,5002
96,13.751427364349365,30,1,0.01,10000,1.9941953777191655e-08,123,10000
97,33.73598756790161,30,1,0.01,50000,6.486337530864361e-07,307,50002
98,19.444603824615477,30,1,0.005,50,5.329296204763523e-05,484,52
99,11.853302764892579,30,1,0.005,100,5.777827550446091e-06,406,100
100,8.16775884628296,30,1,0.005,500,5.650818621916187e-08,176,502
101,7.100611972808838,30,1,0.005,1000,7.68963179353932e-08,198,1000
102,8.372211980819703,30,1,0.005,5000,2.6958198334758875e-08,132,5002
103,12.095854759216309,30,1,0.005,10000,1.5047177531757328e-08,106,10000
104,43.090372467041014,30,1,0.005,50000,2.378130159463865e-08,128,50002
105,27.06761932373047,30,1,0.001,50,0.0016650539690544973,506,52
106,18.056515789031984,30,1,0.001,100,7.3763628620326925e-06,417,100
107,12.651169872283935,30,1,0.001,500,6.160544891997688e-08,182,502
108,11.258294200897216,30,1,0.001,1000,2.9972368942310367e-08,139,1000
109,11.147989511489868,30,1,0.001,5000,8.402046491884364e-09,82,5002
110,17.96118383407593,30,1,0.001,10000,2.7583157979904627e-09,53,10000
111,26.33703022003174,30,1,0.001,50000,1.5817609374524367e-07,246,50002
112,13.448061084747314,30,2,0.1,50,0.0006497421614767518,491,57
113,9.2069806098938,30,2,0.1,100,0.014544637651306402,591,117
114,6.672556066513062,30,2,0.1,500,1.3402189824773814e-05,438,525
115,7.218297910690308,30,2,0.1,1000,7.779656857564987e-05,489,1053
116,7.4379112243652346,30,2,0.1,5000,0.03908758088946342,722,5026
117,9.12659502029419,30,2,0.1,10000,0.03956665620207787,737,10181
118,12.960342407226562,30,2,0.1,50000,0.03919956460595131,728,50124
119,10.457037591934204,30,2,0.01,50,0.008377819864836055,557,57
120,10.771196794509887,30,2,0.01,100,7.729131175437942e-06,419,117
