,fit_time,batch_size,hidden_layers,learning_rate,n_weights,test_score,rank,actual_weights
0,6.160880756378174,16,1,0.1,10,0.007923756842137664,485,10
1,6.5162639141082765,16,1,0.1,30,0.0003105310308455955,421,31
2,6.419425344467163,16,1,0.1,60,9.941061507561244e-05,419,61
3,9.390277242660522,16,1,0.1,100,0.002662066255288664,447,100
4,11.127828550338744,16,1,0.1,300,0.007560296460724203,480,301
5,7.555386781692505,16,1,0.1,600,0.03099109619797673,538,601
6,8.514221096038819,16,1,0.1,1000,0.03893561288714409,612,1000
7,9.393668603897094,16,1,0.1,3000,0.03846381455659866,611,3001
8,10.513671875,16,1,0.1,6000,0.03835310265421867,610,6001
9,12.382272529602051,16,1,0.1,10000,0.03778932169079781,588,10000
10,18.33235387802124,16,1,0.1,30000,0.03792888522148132,600,30001
11,14.282190036773681,16,1,0.05,10,0.007593983579863561,481,10
12,8.810029125213623,16,1,0.05,30,9.778956482477951e-05,417,31
13,9.633426904678345,16,1,0.05,60,1.2975465352838e-05,350,61
14,8.626121520996094,16,1,0.05,100,0.00023186420334013745,420,100
15,8.247135782241822,16,1,0.05,300,3.81146815016109e-06,311,301
16,9.619663715362549,16,1,0.05,600,6.0740829758287874e-05,407,601
17,11.914724016189576,16,1,0.05,1000,9.855589305516333e-05,418,1000
18,10.009422159194946,16,1,0.05,3000,0.03805492371320725,603,3001
19,11.332281017303467,16,1,0.05,6000,0.0381946787238121,606,6001
20,13.96443977355957,16,1,0.05,10000,0.03813893124461174,604,10000
21,20.200755500793456,16,1,0.05,30000,0.03786293864250183,592,30001
22,17.136752080917358,16,1,0.01,10,0.007483452453016071,479,10
23,17.695657396316527,16,1,0.01,30,9.747691046868568e-06,342,31
24,16.024727630615235,16,1,0.01,60,1.4986934274929808e-05,351,61
25,9.263017749786377,16,1,0.01,100,4.137859377806308e-06,314,100
26,11.750961446762085,16,1,0.01,300,2.1455185112984053e-07,252,301
27,13.25394115447998,16,1,0.01,600,2.4796728368414735e-07,254,601
