Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,3.569e-03,1,0.1,16,10,1.7597932815551758
30,2.679e-04,1,0.1,16,50,1.5436214804649353
60,5.507e-05,1,0.1,8,50,1.7208978533744812
100,1.846e-05,1,0.1,8,25,1.9560185074806213
300,2.909e-05,2,0.01,8,100,2.725959300994873
600,1.606e-05,3,0.01,8,150,4.058893918991089
1000,6.453e-06,3,0.01,8,50,2.056499719619751
3000,2.649e-06,3,0.001,8,150,4.132696747779846
6000,1.585e-06,3,0.01,32,100,2.077692925930023
10000,3.965e-07,1,0.01,32,300,3.5761842131614685
30000,2.403e-07,2,0.01,64,500,4.671756088733673
