Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
100,1.087e-04,1,0.01,64,50,3.935478389263153
300,9.664e-06,1,0.1,512,150,2.9912524223327637
600,1.943e-06,1,0.01,64,20,3.163043797016144
1000,1.131e-06,1,0.01,256,150,4.463068425655365
3000,6.962e-08,1,0.01,512,200,6.182471692562103
6000,7.342e-08,2,0.001,64,200,16.690627694129944
10000,3.439e-08,2,0.0001,64,300,28.325273036956787
30000,4.314e-09,1,0.0001,64,500,70.89371639490128
