Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
100,2.473e-04,1,0.1,512,100,2.5913219451904297
300,1.651e-05,1,0.1,512,150,3.312144458293915
600,2.657e-06,1,0.01,512,150,3.5667144656181335
1000,5.037e-07,1,0.01,128,100,5.718212842941284
3000,3.802e-08,1,0.01,64,50,5.411532878875732
6000,5.718e-08,1,0.01,256,100,4.399987161159515
10000,3.334e-08,2,0.001,128,175,158.5498690009117
30000,6.144e-09,2,0.001,128,175,17.711647868156433
