Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
30,6.957e-05,1,0.1,128,25,2.1218210458755493
60,2.081e-05,1,0.1,512,100,2.2270395755767822
100,5.243e-06,1,0.01,128,50,3.36200213432312
300,1.079e-07,1,0.01,256,150,4.330659627914429
600,8.427e-08,1,0.001,64,100,11.096552729606628
1000,8.662e-08,1,0.01,128,150,10.640772759914398
3000,1.089e-08,1,0.01,256,150,10.955207467079163
6000,1.072e-08,1,0.01,256,150,23.430544257164
10000,1.201e-08,1,0.0001,64,175,45.4972380399704
30000,3.125e-09,1,0.0001,64,300,225.68077325820923
