Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
30,2.098e-05,1,0.1,64,50,5.408276200294495
60,1.718e-05,1,0.1,128,10,2.5628910064697266
100,2.962e-06,1,0.01,256,100,3.761932373046875
300,2.355e-07,1,0.01,512,150,5.213296949863434
600,7.334e-08,1,0.01,128,150,10.877887785434723
1000,9.234e-08,1,0.001,64,100,9.568641602993011
3000,4.772e-09,1,0.01,256,150,13.947673082351685
6000,1.308e-08,1,0.01,512,200,27.15707129240036
10000,3.346e-09,1,0.0001,64,300,80.84763187170029
30000,2.799e-09,1,0.0001,128,500,366.398712515831
