Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,9.674e-04,1,0.1,16,25,1.494752049446106
30,1.920e-04,1,0.01,8,100,3.4166125655174255
60,2.044e-05,1,0.1,16,25,1.4069870710372925
100,3.798e-05,1,0.1,16,50,1.6116896271705627
300,5.227e-06,3,0.01,64,150,2.093899369239807
600,6.483e-06,3,0.001,8,150,6.163266539573669
1000,5.710e-06,3,0.001,8,150,6.535271108150482
3000,7.818e-07,1,0.01,8,200,7.3580703139305115
6000,6.540e-07,1,0.01,64,200,2.982524037361145
10000,3.323e-07,1,0.01,64,175,3.511857807636261
30000,1.890e-07,3,0.001,64,500,5.983746409416199
