Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,3.249e-04,1,0.1,128,100,9.089689373970032
30,3.401e-05,1,0.1,256,100,6.153043270111084
60,7.644e-06,1,0.1,512,100,3.64749413728714
100,3.943e-06,1,0.01,256,100,6.832226455211639
300,6.048e-08,1,0.01,128,150,18.686772108078003
600,5.556e-08,1,0.01,128,100,14.367822825908661
1000,7.414e-08,1,0.01,256,100,10.336604177951813
3000,3.561e-09,1,0.01,512,150,28.694256842136383
6000,2.446e-09,1,0.01,512,200,82.72599655389786
10000,7.147e-10,1,0.01,1024,300,172.11856365203857
30000,3.431e-09,1,0.01,512,300,481.49899619817734
